day,PAR
1,0.002
2,0.002
3,0.001
4,0.003
5,0.003
6,0.004
7,0.004
8,0.004
9,0.003
10,0.003
11,0.000
12,0.000
13,0.000
14,0.001
15,0.001
16,0.001
17,0.000
18,0.001
19,0.001
20,0.001
21,0.001
22,0.001
23,0.001
24,0.002
25,0.001
26,0.002
27,0.003
28,0.001
29,0.001
30,0.001
31,0.001
32,0.001
33,0.000
34,0.000
35,0.000
36,0.000
37,0.000
38,0.000
39,0.000
40,0.000
41,0.000
42,0.000
43,0.000
44,0.000
45,0.000
46,0.000
47,0.000
48,0.000
49,0.000
50,0.000
51,0.000
52,0.000
53,0.000
54,0.000
55,0.000
56,0.000
57,0.000
58,0.000
59,0.000
60,0.001
61,0.001
62,0.000
63,0.000
64,0.001
65,0.002
66,0.002
67,0.002
68,0.001
69,0.002
70,0.002
71,0.002
72,0.003
73,0.001
74,0.001
75,0.002
76,0.003
77,0.004
78,0.002
79,0.003
80,0.002
81,0.002
82,0.002
83,0.002
84,0.001
85,0.002
86,0.003
87,0.002
88,0.002
89,0.002
90,0.001
91,0.001
92,0.001
93,0.002
94,0.002
95,0.002
96,0.002
97,0.002
98,0.002
99,0.002
100,0.001
101,0.001
102,0.002
103,0.003
104,0.003
105,0.003
106,0.003
107,0.007
108,0.014
109,0.007
110,0.000
111,0.000
112,0.002
113,0.002
114,0.002
115,0.007
116,0.004
117,0.002
118,0.002
119,0.005
120,0.012
121,0.017
122,0.014
123,0.029
124,0.018
125,0.028
126,0.048
127,0.067
128,0.085
129,0.104
130,0.143
131,0.179
132,0.125
133,0.126
134,0.134
135,0.104
136,0.271
137,0.161
138,0.092
139,0.112
140,0.138
141,0.116
142,0.062
143,0.114
144,0.117
145,0.132
146,0.042
147,0.092
148,0.074
149,0.047
150,0.062
151,0.057
152,0.081
153,0.098
154,0.151
155,0.131
156,0.305
157,0.134
158,0.930
159,0.654
160,1.229
161,2.799
162,2.032
163,5.707
164,12.079
165,24.431
166,25.676
167,31.735
168,143.868
169,153.950
170,55.910
171,95.537
172,49.929
173,50.319
174,36.596
175,85.258
176,146.710
177,72.897
178,80.448
179,160.776
180,119.106
181,133.046
182,137.760
183,134.141
184,36.998
185,119.659
186,144.009
187,68.831
188,53.027
189,124.277
190,162.392
191,153.982
192,78.448
193,43.922
194,31.378
195,49.467
196,150.262
197,146.376
198,36.077
199,76.103
200,133.690
201,92.816
202,110.686
203,124.956
204,134.987
205,143.457
206,142.644
207,61.242
208,53.834
209,85.919
210,83.823
211,66.459
212,118.511
213,49.566
214,126.222
215,132.747
216,91.671
217,50.373
218,83.106
219,84.378
220,55.586
221,123.981
222,140.362
223,64.652
224,17.524
225,42.253
226,47.063
227,15.996
228,108.245
229,49.915
230,121.893
231,110.717
232,21.390
233,59.811
234,36.182
235,86.016
236,119.895
237,61.489
238,91.621
239,121.589
240,109.477
241,99.012
242,105.960
243,64.135
244,37.385
245,64.667
246,36.765
247,15.035
248,39.359
249,22.685
250,32.481
251,85.867
252,94.180
253,47.469
254,39.637
255,8.775
256,7.582
257,25.770
258,40.862
259,87.671
260,74.639
261,67.099
262,34.471
263,77.980
264,47.927
265,72.197
266,45.954
267,69.447
268,39.370
269,56.423
270,57.355
271,66.063
272,61.163
273,48.286
274,52.420
275,28.416
276,27.065
277,43.200
278,50.896
279,33.263
280,43.763
281,26.762
282,21.691
283,32.791
284,17.882
285,3.290
286,2.110
287,2.585
288,3.914
289,3.472
290,7.476
291,4.578
292,9.961
293,11.882
294,12.655
295,14.009
296,19.867
297,17.433
298,23.203
299,22.402
300,24.294
301,3.870
302,4.849
303,7.759
304,21.732
305,26.351
306,24.606
307,15.488
308,12.720
309,8.733
310,9.827
311,13.469
312,7.188
313,13.517
314,4.403
315,3.404
316,2.621
317,2.986
318,1.868
319,0.484
320,0.468
321,0.641
322,1.576
323,0.757
324,0.690
325,0.104
326,0.132
327,0.171
328,0.112
329,0.284
330,0.225
331,0.233
332,0.513
333,0.595
334,0.316
335,0.161
336,0.146
337,0.400
338,0.585
339,0.381
340,0.405
341,0.185
342,0.162
343,0.242
344,0.134
345,0.146
346,0.163
347,0.372
348,0.576
349,0.469
350,0.424
351,0.131
352,0.154
353,0.476
354,0.753
355,0.417
356,0.242
357,0.244
358,0.242
359,0.000
360,0.000
361,0.000
362,0.000
363,0.036
364,0.038
365,0.073
