day,temp
1,-0.02
2,-0.02
3,-0.02
4,-0.02
5,-0.03
6,-0.03
7,-0.03
8,-0.03
9,-0.03
10,-0.03
11,-0.04
12,-0.04
13,-0.04
14,-0.04
15,-0.04
16,-0.05
17,-0.05
18,-0.05
19,-0.05
20,-0.05
21,-0.05
22,-0.05
23,-0.05
24,-0.05
25,-0.06
26,-0.05
27,-0.06
28,-0.06
29,-0.06
30,-0.06
31,-0.06
32,-0.07
33,-0.07
34,-0.07
35,-0.07
36,-0.07
37,-0.07
38,-0.07
39,-0.07
40,-0.07
41,-0.07
42,-0.07
43,-0.08
44,-0.08
45,-0.08
46,-0.08
47,-0.08
48,-0.08
49,-0.08
50,-0.08
51,-0.08
52,-0.08
53,-0.08
54,-0.08
55,-0.09
56,-0.09
57,-0.09
58,-0.09
59,-0.09
60,-0.09
61,-0.09
62,-0.09
63,-0.09
64,-0.10
65,-0.10
66,-0.10
67,-0.10
68,-0.10
69,-0.10
70,-0.10
71,-0.10
72,-0.11
73,-0.10
74,-0.10
75,-0.10
76,-0.10
77,-0.10
78,-0.10
79,-0.10
80,-0.11
81,-0.11
82,-0.11
83,-0.11
84,-0.11
85,-0.11
86,-0.11
87,-0.11
88,-0.11
89,-0.11
90,-0.12
91,-0.12
92,-0.11
93,-0.11
94,-0.11
95,-0.11
96,-0.11
97,-0.12
98,-0.12
99,-0.12
100,-0.12
101,-0.12
102,-0.12
103,-0.13
104,-0.12
105,-0.12
106,-0.12
107,-0.13
108,-0.13
109,-0.15
110,-0.16
111,-0.15
112,-0.16
113,-0.16
114,-0.16
115,-0.16
116,-0.17
117,-0.18
118,-0.18
119,-0.18
120,-0.19
121,-0.20
122,-0.25
123,-0.28
124,-0.28
125,-0.27
126,-0.26
127,-0.26
128,-0.26
129,-0.27
130,-0.27
131,-0.27
132,-0.27
133,-0.27
134,-0.26
135,-0.26
136,-0.25
137,-0.26
138,-0.25
139,-0.23
140,-0.21
141,-0.19
142,-0.18
143,-0.18
144,-0.17
145,-0.16
146,-0.15
147,-0.14
148,-0.13
149,-0.13
150,-0.13
151,-0.12
152,-0.13
153,-0.15
154,-0.15
155,-0.14
156,-0.13
157,-0.14
158,-0.13
159,-0.12
160,-0.12
161,-0.11
162,-0.12
163,-0.11
164,-0.11
165,-0.11
166,-0.10
167,0.24
168,7.95
169,11.53
170,10.86
171,9.26
172,9.61
173,9.98
174,9.10
175,7.75
176,7.48
177,8.45
178,7.03
179,7.65
180,7.46
181,9.73
182,12.19
183,13.05
184,11.84
185,12.70
186,14.27
187,15.09
188,15.29
189,14.88
190,14.59
191,14.75
192,15.42
193,15.84
194,15.85
195,15.84
196,16.02
197,16.09
198,14.52
199,13.52
200,13.26
201,13.36
202,13.97
203,15.19
204,15.10
205,13.78
206,14.86
207,15.52
208,15.40
209,14.29
210,11.52
211,12.77
212,14.81
213,15.27
214,15.96
215,15.77
216,15.47
217,15.01
218,13.64
219,12.08
220,10.78
221,10.33
222,11.40
223,12.77
224,13.99
225,13.42
226,12.98
227,13.22
228,13.21
229,12.96
230,12.36
231,11.89
232,12.04
233,11.94
234,12.47
235,12.84
236,11.23
237,10.54
238,10.29
239,10.02
240,9.69
241,9.57
242,10.19
243,11.20
244,11.52
245,10.92
246,10.98
247,11.40
248,11.66
249,11.12
250,10.45
251,9.85
252,8.96
253,7.91
254,7.15
255,6.51
256,7.18
257,8.29
258,8.65
259,8.13
260,5.67
261,6.70
262,6.81
263,6.53
264,6.92
265,6.48
266,6.42
267,6.65
268,6.98
269,7.65
270,7.89
271,8.32
272,8.73
273,8.24
274,8.18
275,8.21
276,8.10
277,8.72
278,8.60
279,8.10
280,7.34
281,6.71
282,7.24
283,6.06
284,4.17
285,3.11
286,2.48
287,2.12
288,1.87
289,1.64
290,1.45
291,1.34
292,1.27
293,1.19
294,1.10
295,1.04
296,2.90
297,2.58
298,2.45
299,3.05
300,4.33
301,3.54
302,2.88
303,2.19
304,1.79
305,1.73
306,2.75
307,2.11
308,1.19
309,1.26
310,1.08
311,0.92
312,0.69
313,0.73
314,0.75
315,0.73
316,0.70
317,0.68
318,0.65
319,0.62
320,0.58
321,0.54
322,0.51
323,0.49
324,0.46
325,0.43
326,0.40
327,0.38
328,0.37
329,0.35
330,0.33
331,0.31
332,0.28
333,0.26
334,0.25
335,0.24
336,0.22
337,0.21
338,0.20
339,0.19
340,0.18
341,0.17
342,0.17
343,0.15
344,0.11
345,0.09
346,0.07
347,0.05
348,0.03
349,-0.01
350,-0.03
351,-0.05
352,-0.06
353,-0.07
354,-0.07
355,-0.05
356,-0.06
357,-0.07
358,-0.08
359,-0.07
360,-0.06
361,-0.05
362,-0.04
363,-0.02
364,-0.01
365,-0.01
